Course	Room	Teacher	Time	Students
006035	TH110	0409737	10	3915026 3690361 3833424 3799593 3930301 4175505 4280948 4280946 3819269 3222918 3816483 3910629 
016894	TH110	3926311	11	3821269 3930841 3675467 3684090 3904324 3902439 3930253 3579645 3913863 3768625 4000229 3910605 3816722 
006041	TH110	3818520	12	3690361 4092771 4175453 3833424 4280948 3928890 3936964 3915267 3917445 3817507 4093607 3850568 4087228 
004807	TH110	0672202	13	3933304 4280946 4175385 4276256 4281029 3856450 4371917 4012510 4170471 4278360 3964183 4180508 
016440	TH110	4392595	14	4176699 4034558 4094498 4165491 4174380 4096964 3969108 3932943 4175377 4282720 3758045 4175250 
008778	TH110	4168989	15	4372224 4084615 4372059 4093471 4023438 3914371 4086333 4371952 3915088 3913815 4174897 4086437 4095930 
017104	TH110	0431946	16	4086413 3910527 3891249 3818025 3819309 3711797 3928589 3905830 4174480 4094832 4175330 
011190	TH110	4354090	17	4091785 3930841 3860357 3902439 3930253 3913863 4086477 3692862 3902911 3915088 3694668 3821254 3910185 
004036	TH110	3646540	18	4279260 3762625 3871577 4176465 3913210 3931001 3817507 4175362 3914354 4175446 3769494 4175329 3973360 
004290	CARP21	3646542	1	3816993 3684090 3823391 3759092 3910498 3910870 4086249 3929864 3914251 3823094 3768197 
015678	CARP21	3478658	2	4279624 4017901 4095086 4280365 4093026 4280697 4092004 4281934 4280658 4280864 4093973 4281886 
014114	CARP21	0827051	3	4175528 4090806 3858245 3897515 4092633 4175510 4175489 4000502 4278573 4095128 3915711 4175437 
016886	CARP21	0058557	4	4093315 4093136 4175440 3769368 4091767 4175348 3821589 4150362 3790306 3929237 4090841 3844962 
004816	CARP21	0321808	5	3888468 4260945 4000253 4001662 4161057 4076454 4256760 4175311 4181243 4175431 4278383 
006565	CARP21	0031399	6	3910179 4180467 4043790 3846717 4086305 3848104 3458065 3975519 3768620 3816963 3929102 
017116	CARP21	0851717	7	3987067 4043326 4037708 3692316 3915155 4095224 4092251 4043549 3851846 4094813 4091895 4096261 
016614	CARP21	4170946	8	3816180 3910686 3651486 3914820 4175385 3930767 3820380 3821571 3790825 3486653 3609410 4092767 
008774	CARP21	4168989	9	4276714 3995227 4278990 4278521 4077315 3969012 4276567 3960504 3915044 4277616 4079295 
004023	CARP21	0854975	10	4279260 4175524 3908683 3762625 4176721 4002846 4095985 4086492 4175365 4090845 4096899 
013286	CARP21	3318436	11	3824908 3902404 3692164 3914745 4000367 3960504 4174840 4079295 
016863	CARP21	4168993	12	3823338 3973168 4280642 4000249 4181036 4174272 3931836 4152941 4023381 4280465 4180435 
001774	CARP21	3474420	13	4001881 4000812 4175383 3910643 4086246 3819309 3790928 3805981 3913159 3913396 4096914 3839352 
013185	CARP21	3420576	14	3814296 3930865 3820858 3652339 3823387 3902614 3823262 3930721 3915044 4090844 3901669 
001899	CARP21	3899727	15	3930864 3788897 3764208 3819332 3712888 3820732 3611135 3768625 3521001 3796247 3816722 
010944	CARP21	3083296	16	3616206 3908117 3730202 3793534 3464954 3759552 3771823 3913138 3797084 3975519 3630501 
016985	CARP21	1024995	17	3829442 3768339 4037591 3930190 3790928 4170477 3930721 3818675 3773692 4003485 
009225	CARP21	0022277	18	4086619 4174272 3906250 4371956 4096186 4175357 3823151 3945475 4278484 3910634 3789573 
014140	DAL119	0031336	1	3789136 4358230 4091163 4086337 4093161 4175888 4281391 3819628 4270406 
001185	DAL119	3646542	2	4086413 4003389 4044003 3914928 4180434 4002806 4175415 3790306 4278351 4000336 
011827	DAL119	4090501	3	3915029 3930678 3852207 4097018 3861339 3799474 3915054 3929954 3929815 3929812 3902440 
001766	DAL119	4360396	4	3991180 4175395 3997576 4002075 3901484 3781152 3615055 4278720 4096266 3652959 4175338 
001765	DAL119	3927849	5	4086399 4176082 3852806 4243051 4159999 3910614 3822731 4279708 3699561 
011321	DAL119	0028980	6	4086350 3816181 4091163 3464954 3930614 3821552 3929472 4000420 3693712 3974661 
002164	DAL119	0180723	7	3915029 3930678 3852207 4097018 3799474 3994876 3929954 3929815 3929812 3902440 
002163	DAL119	0168378	8	3915029 3930678 4086391 4097018 3799474 3994876 3915054 3929954 3929815 3902440 
005846	DAL119	3479968	9	4170472 4181036 3941346 4180953 4093970 3899772 3880322 4096899 
017117	DAL119	0826176	10	3667654 3903909 3823755 3690799 3651486 3902404 3815902 3576990 3830308 3976786 
007878	DAL119	0031386	11	3712913 3851827 4127367 4372208 3973885 4371973 4275431 4372037 4174480 4094832 
015013	DAL119	0827051	12	3956631 4170444 4132153 3939975 3995827 4371918 4003240 4169561 4000763 4278350 
006049	DAL119	0972342	13	3910530 3928890 3929679 3930296 3903896 3817507 4281910 3692862 3820032 3821077 
003421	DAL119	0024092	14	3816997 4143065 4174660 4193260 4175286 4037591 4280653 3827187 3910564 4003839 
012818	DAL119	3448653	15	4175295 4278990 4003130 3818024 4002094 3910870 3913164 4175371 3822218 4175408 
012487	DAL119	3083296	17	4035604 4086361 4243051 4280525 4095004 4093161 4095079 4095930 4280907 
007113	DAL119	0316015	16	3821687 3929289 3585962 3910582 3929739 3817261 3930614 4090714 4095965 3913606 
005725	DAL119	4362771	18	4282999 4093853 3870878 4094965 4170477 4175368 4175962 3901936 3932089 
008821	PK349	0031572	1	3915028 4037411 3930890 4045331 3665300 3910937 3793612 4175400 3816549 
003485	PK349	0024092	2	3871577 4040430 3692164 3227350 4175381 4096175 4093471 3931158 3934960 3581315 
005295	PK349	4392595	3	3843290 3630526 3910526 3651486 3910321 3847931 3790492 3902759 3575266 
005741	PK349	4362771	4	3914676 3690789 3910650 3819542 3910617 3932089 3717144 4086443 
016832	PK349	3995790	5	4095206 3914820 3910586 3821116 3975519 4000763 3792406 4093416 3818676 
002686	PK349	0138190	6	4092771 4092144 3817048 4092290 3910480 3931451 4000763 4095243 3768034 
001010	PK349	3402041	7	3914696 4077315 4277523 4093282 3930705 4275431 3852520 4092173 
001158	PK349	1020104	8	4140278 4276717 4373611 3576990 3929864 4181143 3920306 3913396 
004809	PK349	3194193	9	3929575 4175859 4278829 4035604 4280365 4281294 4280658 3935616 3931889 
004015	PK349	0854975	11	4143476 3937160 3931686 3852806 4280465 3888348 4003163 4003168 
010860	PK349	3461209	10	4000476 3910659 3910653 4086325 3790857 3910701 3846920 3822912 4086404 
009386	PK349	4354080	12	3818274 3929635 3933304 4371969 4282008 3928941 3910185 
004288	PK349	3646542	13	4226536 3885128 3661465 4086279 3910472 3910870 4280182 4180953 3914251 
008801	PK349	3996107	15	4175509 4077315 3969012 4014851 3904965 4164263 3996082 3699561 
016855	PK349	3474420	14	3910541 3610671 3817261 3900952 3913437 3797084 3619216 3575266 4175431 
002653	PK349	1167978	16	4148348 4040430 4045331 3969214 3879197 4138433 4372390 3920306 3615055 
001771	PK349	1061058	17	3817981 3995227 3856450 3819304 3847931 4282008 4086314 3769494 3910564 
011237	PK349	4354084	18	3910179 3914676 3910753 3994726 3904254 3913807 3913606 4086436 
002874	TH224	0031582	1	3775417 4086294 3941346 3852806 3830308 3910550 4086501 3973360 3880322 
003465	TH224	0599596	2	4175535 3929651 3816483 4467145 3930731 3788743 4270406 3819380 
013184	TH224	3198619	3	3914515 4002204 3860357 4090814 4176086 3904254 3903994 4175303 
013183	TH224	3198619	4	3914449 4031284 4043840 3930967 4278366 3816963 3888348 
003002	TH224	0492580	5	4095302 4011555 4092670 3931836 4280889 3950836 4281869 
006038	TH224	4177047	6	4175392 4175439 4371033 4372015 4086312 4175402 3901254 
007032	TH224	0031573	7	4280138 4175501 4175282 4096983 3904254 4095965 3823278 4280078 
004306	TH224	3646542	8	3816993 3821269 3675467 3583596 3684090 3579645 3910595 3910605 
016882	TH224	4091222	9	3851827 3914683 4095206 4086280 3931686 3931971 3759337 4001588 
015860	TH224	0125630	10	3817487 3816463 3820858 4090730 3903092 4467145 4092004 3915044 
015869	TH224	0701976	11	3914814 3953825 4093255 4092928 3759127 4095133 3901790 4095472 
005228	TH224	3448653	12	3790244 4037591 3823271 4014851 3915099 3930197 3758045 3703427 
002396	TH224	0020988	13	4176079 4095080 3914498 4086333 3756293 4094175 3910691 4094815 
013919	TH224	0897399	14	3930301 4176080 3994733 4174837 3930190 4281163 4090845 4079295 
015856	TH224	3927894	15	3910744 4175351 3669069 4091899 3715174 3817427 3820395 
001752	TH224	3896859	16	4146462 4176668 4135340 4059195 4174366 4086513 3819353 
012320	TH224	3995790	17	3690789 4095206 3821048 3819546 3910700 3930137 
006874	TH224	3646602	18	4093959 4092795 4010147 3904251 4095001 3758045 4278383 
004885	PK179	0672202	1	3929575 3693840 3930767 3820970 3710476 3790825 3486653 
017105	PK179	3436165	2	3816860 3910684 4001662 4092823 3827187 4093165 3910630 
004304	PK179	3448653	3	3675467 3790244 3818024 3716057 3589576 3816722 
014969	PK179	3448653	4	3930118 3929651 3839910 3821162 3821004 3852520 3821254 
007923	PK179	3435819	5	3884178 3913786 4175383 3711797 3796254 4093778 
011296	PK179	0431946	6	3857764 3934527 3821097 3930544 4095004 4079295 
013915	PK179	1168490	7	3910527 3819143 3821393 3678357 3821554 3708638 3797331 
002395	PK179	4358919	8	4175453 4175374 4086315 3822218 4093161 3910702 3929800 
009304	PK179	0493855	9	3889653 3798513 3651486 3914822 3930967 3930731 3976786 
017126	PK179	4354081	10	3852791 3931688 3931202 3834985 3931959 3767997 
003034	PK179	3473854	11	3929776 3910516 3910580 3910588 3613455 3789806 
013155	PK179	3198619	12	3821687 3789070 3860451 3913807 3768620 4003199 
004874	PK179	3436165	13	3888468 3910684 4092823 3827187 3814239 4092767 
017172	PK179	4464860	14	3823271 3905861 3910463 4093159 4092769 
015248	PK179	4172060	15	3929575 4175478 3852217 3832060 3823192 4086270 
016445	PK179	3194193	16	4003389 4017901 3935260 3930296 3971828 4280898 
005258	PK179	4170165	17	3910479 3910559 4093165 4093119 3905715 
015010	PK179	0431946	18	4086413 3884178 3929289 3913786 4088956 3905830 
015655	TAYF	0129398	1	3848104 4280786 4159999 3819598 3910601 3910700 
010966	TAYF	0775640	2	4003177 4372220 4129521 3910537 3797606 4175370 
002433	TAYF	0697660	3	3671929 3929651 4086333 3821162 3821116 3930137 
001757	TAYF	1008897	4	4175478 3852217 3820970 3816486 3699593 4175433 
001474	TAYF	0020093	5	3768972 3704166 3796732 3819367 3789315 3816832 
015432	TAYF	0129398	6	3884178 4086391 3821059 3692862 3652959 
002469	TAYF	4358919	7	3910741 3839910 3821162 3914750 3964183 3910690 
006542	TAYF	0138190	8	4093324 3585962 3724014 4281163 4086253 
017122	TAYF	4392595	9	3860357 3913210 3816764 3910710 
004379	TAYF	0847593	10	3430527 3910480 4023381 3821016 4062047 
001758	TAYF	3460008	11	4282999 4153748 4059195 3769494 4086513 
009232	TAYF	4354604	12	3930683 3816203 3852520 
005120	TAYF	4273391	13	4146034 4125081 3937982 4262071 4002166 
015650	TAYF	4091999	14	3818064 3910674 3823391 4062513 
013210	TAYF	0031582	15	4093126 3934527 3973119 4281409 3976786 
003541	TAYF	0599596	16	3762625 3915038 3797192 3930721 3930220 
014523	TAYF	4170914	17	3914676 3910646 3819542 3822914 
006588	TAYF	4092861	18	3819676 3579116 3820395 3768620 3820378 
014180	BYC106	0599596	1	3691228 3929635 3768339 4091718 3904411 
002464	BYC106	4354604	2	3930683 3821048 3910563 3852520 3929800 
001176	BYC106	4354080	3	3930260 3666995 3768588 3822218 3959570 
002390	BYC106	0316015	4	4371946 4278990 4279035 4093282 4175375 
001755	BYC106	3927849	6	4093959 4252130 4175447 
012355	BYC106	4089714	5	3819645 3910741 4278991 4280475 
012354	BYC106	0031756	7	3989696 3797192 3930831 3910508 
013647	BYC106	0492580	8	3821044 3820971 3613455 3823402 
001837	BYC106	3452118	9	3539996 3576379 
005161	BYC106	0031582	10	3893220 3903520 3928949 4094815 
009299	BYC106	0321808	11	3816180 3712286 3821180 4268891 
006868	BYC106	0750235	12	3610120 3819269 4086250 3822912 
004740	BYC106	3764403	14	4170472 3910475 3703938 3789315 
012665	BYC106	3332662	13	3915267 3819177 3819598 3789806 
015651	BYC106	3478855	15	4175535 3690845 4062513 3910622 
011037	BYC106	3083296	18	3912597 3816963 3816708 
012735	BYC106	1168592	16	3823755 3814296 3914696 3817087 
017121	TAYG	3995790	1	4092795 4000249 4091996 4095190 
002384	BYC106	3473854	17	4175386 3720506 4175310 3910561 
004362	TAYG	0775506	2	4093475 3822201 3931666 3816832 
006523	TAYG	0031573	3	3951018 3930674 3821180 4091877 
005734	TAYG	4362771	5	4181036 4093066 3797532 3693501 
008470	TAYG	0695890	4	4358230 4086337 4093748 3894333 
016879	TAYG	3443571	6	4175472 4086362 3575266 
002374	TAYG	0492580	7	4175470 4281002 3910503 
002373	TAYG	0901151	8	4095703 3918056 4174366 
012353	TAYG	0683480	9	4282999 3819372 3910734 
012352	TAYG	4466695	10	3824908 4262071 4092928 
004293	TAYG	0802802	11	4086309 3929237 3768197 
001562	TAYG	0031756	12	4095053 3989696 3910508 
007882	TAYG	3435819	13	3929289 4175475 3994876 
016885	TAYG	3479968	14	3930763 4000366 3893220 
001242	TAYG	4354604	15	3903909 3576990 3813457 
011322	TAYG	0028980	16	4358230 3965315 3409210 
001427	TAYG	0901151	17	3933304 3920668 3928949 
002383	TAYG	3473854	18	4091782 3816203 4175315 
002420	BYC127	0695890	1	3616206 3821273 4373610 
004810	BYC127	0697660	2	3930303 4000253 
010933	BYC127	0853792	3	3922150 3758075 
001457	BYC127	0901151	4	3768972 3832060 3758075 
007888	BYC127	0772775	5	4088956 3905830 4001712 
001552	BYC127	0129398	7	3818064 4095053 3691783 
016878	BYC127	3443571	8	3667654 3913185 
012734	BYC127	0772775	6	3796254 3683644 3612203 
005272	BYC127	1137952	9	3691228 3821197 3669069 
016862	BYC127	4168993	10	3690789 3695145 
001871	BYC127	4090501	11	3854723 3774808 3789493 
002671	BYC127	0847593	12	3937982 
017124	BYC127	3448653	13	4092675 3823094 
003493	BYC127	0138190	14	4175492 3768088 
005853	BYC127	0031582	16	3904102 3758075 
015417	BYC127	3194197	17	3930890 4086473 
011238	TAYE	4354084	1	3897515 3910561 
004360	BYC127	0847593	15	3928826 4062047 
015014	BYC127	0031756	18	3458065 3910638 
014310	TAYE	4354604	3	3652339 3910483 
011987	TAYE	3764403	2	3830308 3931451 
014185	TAYE	0599596	4	3879197 4002806 
008495	TAYE	0316015	5	3833424 
005745	TAYE	4362771	6	3910646 3910617 
004825	TAYE	4358919	9	4000862 3579361 
013342	TAYE	0493725	7	
015015	TAYE	0031756	10	4146462 
013156	TAYE	3198619	8	3930967 
011208	TAYE	4354090	11	3914251 
017171	TAYE	3995790	12	4040430 
002404	TAYE	4354612	13	4095309 
001563	TAYE	0031756	14	3910622 
017173	TAYE	4464860	15	4094832 
006582	TAYE	0564741	16	4086448 
014537	TAYE	4170914	18	3816466 
013920	TAYE	0897399	17	4175290 
002669	DAL300	0897706	1	3930034 
